Height,Weight,shirt_size,trouser_size
187.571423224488,109.720985110141,XXL,40
174.706036276561,73.6227318518815,L,36
188.239667695134,96.4975501535839,XXL,40
182.196685144478,99.8095041897133,XXL,40
177.499761487233,93.5986187645829,XXL,40
170.822659847029,69.0422161541668,M,34
174.71410637922,83.4282188476796,XL,38
173.605229399433,76.1903519491574,L,36
170.228132143723,79.8001867279709,L,36
161.179494705051,70.9416420117829,XL,34
180.836270998755,84.6425013947739,XL,38
181.96764500282,96.9512845510409,XXL,40
164.50647599885,75.8076793232401,XL,36
175.97899804567,85.9312723075733,XL,38
175.87907986372,84.5650471410898,XL,38
171.81987403907,78.1026139789214,L,36
183.942524230009,88.916962243456,XL,38
162.494787331495,78.4185590189409,XL,36
176.885752145371,84.3608352835112,XL,38
172.557452329184,82.7472681256152,XL,38
172.504227492304,78.9775925038872,L,36
176.37617726482,89.6893909930641,XL,38
168.01879518063,67.6639361526894,M,34
191.023172980122,103.764513592808,XXL,40
172.448718700055,73.4849212251682,L,36
173.08584330743,87.2456890245066,XL,38
175.487663829471,83.6583196302577,XL,38
184.914142531911,93.8156120955572,XXL,40
171.24995539556,79.4756334889102,L,36
173.980895006482,70.0085862757018,L,34
174.290000797523,85.0516040007288,XL,38
188.045871359036,96.5743749258537,XXL,40
181.68166873035,88.4650652729217,XL,38
175.717609192906,93.0696491714752,XXL,40
176.726094008121,92.6072140065843,XXL,40
178.81835937673,87.4994912097402,XL,38
175.45347476554,89.5790869369316,XL,38
170.671549138116,83.37518697059,XL,38
167.150581763524,74.3218769503439,L,36
163.332637244561,73.9844917140065,XL,36
172.65481401708,78.0793298989566,L,36
183.361141936402,88.0174432985204,XL,38
165.78667763106,76.4836607362972,L,36
167.869050535732,73.116051478367,L,36
171.476216649913,74.6885844847355,L,36
178.066157088099,85.6936453309927,XL,38
173.359664559803,84.8491699770828,XL,38
183.318681154125,94.8328710669112,XXL,40
175.716838351949,87.0961664282022,XL,38
185.090714773977,95.8632658174142,XXL,40
164.547760764087,75.1201087432591,XL,36
178.266216714209,91.2046134746192,XXL,40
173.968283642466,78.6637210215354,L,36
171.020310437781,82.2850720626667,XL,38
170.156997969609,76.9916661750951,L,36
168.908856746635,74.0758955650417,L,36
173.616763881853,86.0510335482185,XL,38
179.767126038809,87.146293757443,XL,38
180.888446120456,89.9012377314945,XL,38
177.833947986631,95.0395441141216,XXL,40
181.364082840728,90.1558518721708,XXL,40
176.662092940873,89.8472872934638,XL,38
187.499077776736,88.5822593643626,XXL,38
170.172082190715,74.8169626930166,L,36
181.40290336845,81.5848271898864,XL,38
165.809422530871,70.4203488234551,L,34
173.41644634454,83.6965197152232,XL,38
184.82403966371,100.097794184321,XXL,40
172.972424692881,83.1491539461125,XL,38
174.99763342331,89.1087436447823,XL,38
175.995355306795,83.7310911601374,XL,38
179.12899028958,94.1352352893034,XXL,40
176.945862075355,80.376923674635,XL,38
171.691982772106,73.9844849381576,L,36
184.170625765463,98.0748594332957,XXL,40
180.982583433674,92.8300947538551,XXL,40
